Principio activo;Aptitud;Cultivos;Residuos (mg /Kg);Post Cosecha
GAMACIALOTRINA / LAMBDACIALOTRINA;(Insecticida) ;Tabaco ;Exento;
GAMACIALOTRINA / LAMBDACIALOTRINA;(Insecticida) ;Trigo (grano consumo);0.7;
GAMACIALOTRINA / LAMBDACIALOTRINA;(Insecticida) ;Trigo (grano consumo);0.7;Po
GAMACIALOTRINA / LAMBDACIALOTRINA;(Insecticida) ;Tomate;0.7;
GAMACIALOTRINA / LAMBDACIALOTRINA;(Insecticida) ;Florales y ornamentales;Exento;
GIBERELINAS A4 A7;(Fitorregulador);Alcaucil;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Apio;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Espinaca;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Frutilla;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Lechuga;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Manzana;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Naranja;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Perejil;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Tomate;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Uva (de mesa);0.5;
GIBERELINAS A4 A7;(Fitorregulador);Manzana;0.5;
GIBERELINAS A4 A7;(Fitorregulador);Florales y ornamentales;Exento;
GIBERELINAS A4 A7;(Fitorregulador);Crisantemo, Cyclamen y Clavel;Exento;
GLANDLURE;(Feromona);;Exento;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Arándano;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Algodón (semilla consumo);6;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Almendra;0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Barbecho químico;Exento;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Batata;0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Caña de azúcar (tallo fresco) ;0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Cereza;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Ciruela;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Damasco;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Durazno;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Cítricos en general;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Forraje (seco)             ;50;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Granada;0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Maíz (forraje);1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Girasol (Grano consumo);0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Guinda;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Maíz dulce (grano consumo);3;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Maíz (grano consumo);1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Maní (sin cáscara);0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Manzana;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Membrillo;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Palta;0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Papa;0.1;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Pasturas consociadas (leguminosas y gramíneas);20;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Pera;0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Soja (forraje);20;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Soja (grano consumo);5;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Soja (grano no maduro);0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Sorgo (forraje)                 ;20;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Té;0.5;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Trigo (grano consumo);5;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Uva (de mesa y vinificación);0.2;
GLIFOSATO / GLIFOSATO ACIDO;(Herbicida);Yerba Mate;0.5;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Alfalfa (forraje);4.5;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Durazno;0.05;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Granada;0.1;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Maíz (forraje);0.05;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Maíz (grano consumo);0.05;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Manzana;0.05;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Pasturas consociadas (leguminosas y gramíneas);5;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Pera;0.05;
GLUFOSINATO DE AMONIO;(Herbicida);Trigo (grano consumo);0.2;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Uva (de mesa);0.1;
GLUFOSINATO DE AMONIO;(Desecante - Herbicida);Frutales;Exento;
GUAZATINE;(Fungicida)  ;Cítricos en general ;2;Po
GUAZATINE;(Fungicida)  ;Cítricos en general (sin cáscara);0.5;Po
HALOSULFURON;(Herbicida);Maíz (grano consumo);0.01;
HALOSULFURON;(Herbicida);Soja (grano consumo);0.01;
HALOSULFURON METIL;(Herbicida);Arroz (grano consumo);0.01;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Algodón (semilla consumo);0.2;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Cebolla (consumo);0.05;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Girasol (Grano consumo);0.5;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Maíz (grano consumo);0.1;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Maní (sin cáscara);0.05;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Poroto (grano consumo);0.2;
HALOXYFOP-P- METIL  ESTER;(Herbicida);Soja (grano consumo);0.5;
HEPTAMETILTRISILOXANO;(Coadyuvante);;Exento;
HEXACONAZOLE;(Fungicida)  ;Manzana;0.05;
HEXACONAZOLE;(Fungicida)  ;Pera;0.05;
HEXACONAZOLE;(Fungicida)  ;Uva (de mesa);0.01;
HEXAZINONA; (Herbicida);Caña de azúcar (tallo fresco);0.02;
HEXITIAZOX;(Acaricida)  ;Apio;0.5;
HEXITIAZOX;(Acaricida)  ;Berenjena;0.1;
HEXITIAZOX;(Acaricida)  ;Chaucha;0.5;
HEXITIAZOX;(Acaricida)  ;Frutilla;0.5;
HEXITIAZOX;(Acaricida)  ;Manzana;0.05;
HEXITIAZOX;(Acaricida)  ;Melón;0.1;
HEXITIAZOX;(Acaricida)  ;Sandía;0.1;
HEXITIAZOX;(Acaricida)  ;Tomate;0.1;
HEXITIAZOX;(Acaricida)  ;Té;4;
HEXITIAZOX;(Acaricida)  ;Zapallito de tronco;0.1;
HEXITIAZOX;(Acaricida)  ;Zapallo;0.1;
HEXITIAZOX;(Acaricida)  ;Florales y ornamentales;Exento;
HIDRAZIDA MALEICA;(Fitorregulador - Herbicida);Ajo (consumo)  ;15;Po
HIDRAZIDA MALEICA;(Fitorregulador - Herbicida);Cebolla (consumo)                                                     ;15;Po
HIDRAZIDA MALEICA;(Fitorregulador - Herbicida);Papa;50;Po
HIDRAZIDA MALEICA;(Fitorregulador - Herbicida);                  Tabaco               ;Exento;
HIDROXICLORURO DE TRIMETILAMINA;(Feromona);;Exento;
HIDROXIDO DE COBRE;(Fungicida)  ;Apio;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Brócoli;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Cereza;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Ciruela;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Coliflor;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Damasco;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Durazno;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Cítricos en general;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Granada;20;
HIDROXIDO DE COBRE;(Fungicida)  ;Guinda;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Perejil;20;
HIDROXIDO DE COBRE;(Fungicida)  ;Pimiento;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Tomate;10;
HIDROXIDO DE COBRE;(Fungicida)  ;Uva (de mesa);10;
HIDRÓXIDO DE COBRE;(Funguicida);Repollito de Bruselas;10;
IMAZALIL;(Fungicida);Cítricos en general (pulpa);0.5;Po
IMAZALIL;(Fungicida);Cítricos en general;5;Po
IMAZALIL;(Fungicida);Manzana;2;Po
IMAZALIL;(Fungicida);Pera;2;Po
IMAZALIL;(Fungicida - Tratamiento de semillas );Trigo - Avena;Exento;
IMAZAMOX;(Herbicida);Girasol (Grano consumo);0.05;
IMAZAMOX;(Herbicida);Girasol (aceite);0.05;
IMAZAMOX;(Herbicida);Soja (grano consumo);0.1;
IMAZAMOX;(Herbicida);Trigo (grano consumo);0.025;
IMAZAPIC ;(Herbicida);Arroz (grano consumo);0.025;
IMAZAPIC ;(Herbicida);Caña de azúcar (tallo fresco);0.1;
IMAZAPIC ;(Herbicida);Maíz (grano consumo);0.005;
IMAZAPIC ;(Herbicida);Maní (sin cáscara);0.1;
IMAZAPIR ;(Herbicida);Arroz (grano consumo);0.025;
IMAZAPIR ;(Herbicida);Caña de azúcar (Jugo);0.05;
IMAZAPIR ;(Herbicida);Girasol (Grano consumo);0.05;
IMAZAPIR ;(Herbicida);Maíz (grano consumo);0.05;
IMAZAPIR ;(Herbicida);Pinus;Exento;
IMAZAPIR ;(Herbicida);Soja (grano consumo);3;
IMAZAQUIN ;(Herbicida);Soja (forraje);0.05;
IMAZAQUIN ;(Herbicida);Soja (grano consumo);0.05;
IMAZETAPIR;(Herbicida);Alfalfa (forraje);0.02;
IMAZETAPIR;(Herbicida);Arveja (grano consumo);0.02;
IMAZETAPIR;(Herbicida);Barbecho químico;Exento;
IMAZETAPIR;(Herbicida);Maíz (grano consumo);0.02;
IMAZETAPIR;(Herbicida);Maní (sin cáscara);0.1;
IMAZETAPIR;(Herbicida);Poroto (grano consumo);0.02;
IMAZETAPIR;(Herbicida);Soja (grano consumo);0.1;
IMAZETAPIR;(Herbicida);Sorgo (grano consumo);0.05;
IMIDACLOPRID;(Insecticida) ;Acelga;3;
IMIDACLOPRID;(Insecticida) ;Achicoria;4;
IMIDACLOPRID;(Insecticida) ;Alcaucil;0.1;
IMIDACLOPRID;(Insecticida) ;Algodón ;0.4;
IMIDACLOPRID;(Insecticida) ;Berenjena;0.1;
IMIDACLOPRID;(Insecticida) ;Berro;3;
IMIDACLOPRID;(Insecticida);Brócoli;0.15;
IMIDACLOPRID;(Insecticida) ;Cereza;0.1;
IMIDACLOPRID;(Insecticida) ;Cítricos en general;0.2;
IMIDACLOPRID;(Insecticida);Coliflor;0.7;
IMIDACLOPRID;(Insecticida) ;Ciruela;0.1;
IMIDACLOPRID;(Insecticida) ;Durazno;0.1;
IMIDACLOPRID;(Insecticida) ;Escarola;3;
IMIDACLOPRID;(Insecticida) ;Espinaca;3;
IMIDACLOPRID;(Insecticida - Tratamiento de semillas) ;Festuca Arundinácea;Exento;
IMIDACLOPRID;(Insecticida) ;Frutilla;0.5;
IMIDACLOPRID;(Insecticida) ;Lechuga;3;
IMIDACLOPRID;(Insecticida);Maíz Dulce;0.01;
IMIDACLOPRID;(Insecticida) ;Manzana;0.02;
IMIDACLOPRID;(Insecticida);Melón;0.03;
IMIDACLOPRID;(Insecticida) ;Papa;0.01;
IMIDACLOPRID;(Insecticida) ;Pepino;0.1;
IMIDACLOPRID;(Insecticida) ;Pimiento;0.1;
IMIDACLOPRID;(Insecticida) ;Poroto;0.01;
IMIDACLOPRID;(Insecticida) ;Repollo;0.1;
IMIDACLOPRID;(Insecticida) ;Rúcula;5;
IMIDACLOPRID;(Insecticida);Sandía;0.03;
IMIDACLOPRID;(Insecticida) ;Soja (grano consumo);0.01;
IMIDACLOPRID;(Insecticida) ;Tomate;0.1;
IMIDACLOPRID;(Insecticida) ;Uva (de mesa);1;
IMIDACLOPRID;(Insecticida) ;Tabaco ;Exento;
IMIDACLOPRID;(Insecticida - Tratamiento de semillas) ;Trigo - Avena;Exento;
IMIDACLOPRID;(Insecticida) ;Florales y ornamentales;Exento;
IMIDACLOPRID;(Insecticida);Zapallo;0.01;
IMIDACLOPRID;(Insecticida);Radicheta;3;
INDAZIFLAM;(Herbicida);Caña de azúcar;0.01;
INDAZIFLAM;(Herbicida);Ciruela;0.01;
INDAZIFLAM;(Herbicida);Durazno;0.01;
INDAZIFLAM;(Herbicida);Eucalipto;Exento;
INDAZIFLAM;(Herbicida);Limón;0.01;
INDAZIFLAM;(Herbicida);Mandarina;0.01;
INDAZIFLAM;(Herbicida);Manzana;0.01;
INDAZIFLAM;(Herbicida);Naranja;0.01;
INDAZIFLAM;(Herbicida);Olivo;0.01;
INDAZIFLAM;(Herbicida);Pera;0.01;
INDAZIFLAM;(Herbicida);Pino;Exento;
INDAZIFLAM;(Herbicida);Uva (de mesa y vinificación);0.01;
INDOXACARB;(Insecticida) ;Manzana;0.5;
INDOXACARB;(Insecticida) ;Pera;0.5;
INDOXACARB;(Insecticida) ;Tomate;0.5;
INDOXACARB;(Insecticida) ; Uva (vinificación);2;
IODOSULFURON  METIL SODIO;(Herbicida);Cebada (grano consumo);0.01;
IODOSULFURON  METIL SODIO;(Herbicida);Maíz (grano consumo);0.05;
IODOSULFURON  METIL SODIO;(Herbicida);Maní;0.01;
IODOSULFURON  METIL SODIO;(Herbicida);Soja;0.01;
IODOSULFURON  METIL SODIO;(Herbicida);Trigo (forraje);0.05;
IODOSULFURON  METIL SODIO;(Herbicida);Trigo (grano consumo);0.01;
IOXINIL OCTANOATO;(Herbicida);Cebolla (consumo);0.02;
IOXINIL OCTANOATO;(Herbicida);Puerro;0.02;
IPOCONAZOLE;(Tratamiento de semillas);Arveja (grano consumo);Exento;
IPOCONAZOLE;(Tratamiento de semillas);Cebada (grano consumo);Exento;
IPOCONAZOLE;(Tratamiento de semillas);Maíz (grano consumo);Exento;
IPOCONAZOLE;(Tratamiento de semillas);Maní (sin cáscara);Exento;
IPOCONAZOLE;(Tratamiento de semillas);Soja (grano consumo) ;Exento;
IPOCONAZOLE;(Tratamiento de semillas);Trigo (grano consumo);Exento;
IPRODIONE;(Fungicida)  ;Frutilla;0.5;
IPRODIONE;(Fungicida)  ;Durazno;10;Po
IPRODIONE;(Fungicida)  ;Lechuga;0.5;
IPRODIONE;(Fungicida)  ;Manzana;5;Po
IPRODIONE;(Fungicida)  ;Nectarín / Pelón;5;Po
IPRODIONE;(Fungicida - Tratamiento de semilas);Papa;0.1;
IPRODIONE;(Fungicida)  ;Pera;5;Po
IPRODIONE;(Fungicida)  ;Poroto (grano seco);0.05;
IPRODIONE;(Fungicida)  ;     Uva (de mesa y vinificación)             ;10;
IPRODIONE;(Fungicida)  ;Gladiolo, Clavel, Crisantem, Rosa;Exento;
IPROVALICARB;(Fungicida)  ;Papa;0.05;
IPROVALICARB;(Fungicida)  ;Uva (de mesa);2;
ISOPYRAZAM;(Fungicida);Cebada (grano consumo);0.5;
ISOPYRAZAM;(Fungicida);Pimiento;0.05;
ISOPYRAZAM;(Fungicida);Tomate;0.05;
ISOPYRAZAM;(Fungicida);Trigo (grano consumo);0.05;
ISOPYRAZAM;(Fungicida);Zapallo;0.05;
ISOXAFLUTOLE;(Herbicida);Caña de azúcar (tallo fresco);0.01;
ISOXAFLUTOLE;(Herbicida);Maíz (grano consumo);0.1;
ISOXAFLUTOLE;(Herbicida);Forestales;Exento;
KASUGAMICINA;(Fungicida)  ;Acelga;0.04;
KASUGAMICINA;(Fungicida)  ;Apio;0.04;
KASUGAMICINA;(Fungicida)  ;Arroz (grano consumo);0.03;
KASUGAMICINA;(Fungicida)  ;Cebolla (consumo);0.04;
KASUGAMICINA;(Fungicida)  ;Cítricos en general;0.05;
KASUGAMICINA;(Fungicida)  ;Endivia;0.04;
KASUGAMICINA;(Fungicida)  ;Papa;0.05;
KASUGAMICINA;(Fungicida)  ;Pera;0.05;
KASUGAMICINA;(Fungicida)  ;Pimiento;0.04;
KASUGAMICINA;(Fungicida)  ;Radiccio;0.04;
KASUGAMICINA;(Fungicida)  ;Remolacha (hojas);0.04;
KASUGAMICINA;(Fungicida)  ;Remolacha (raíz);0.05;
KASUGAMICINA;(Fungicida)  ;Repollo;0.04;
KASUGAMICINA;(Fungicida)  ;Tomate;0.03;
KASUGAMICINA;(Fungicida)  ;Zanahoria;0.05;
KASUGAMICINA;(Fungicida)  ;Florales y ornamentales;Exento;
KINETINA;(Fitorregulador);;;
KRESOXIM  METIL;(Fungicida)  ;Arroz;0.05;
KRESOXIM  METIL;(Fungicida)  ;Cebada (grano consumo);0.05;
KRESOXIM  METIL;(Fungicida)  ;Manzana;0.2;
KRESOXIM  METIL;(Fungicida)  ;Soja (grano consumo);0.4;
KRESOXIM  METIL;(Fungicida)  ;Trigo (grano consumo);0.05;
KRESOXIM  METIL;(Fungicida)  ;Uva (de mesa);0.5;
LACTOFEN;(Herbicida);Maní (con cáscara);0.003;
LACTOFEN;(Herbicida);Soja (grano consumo);0.05;
LECITINA DE SOJA;(Coadyuvante);;Exento;
LENACIL;(Herbicida);Acelga;0.1;
LENACIL;(Herbicida);Espinaca;0.1;
LENACIL;(Herbicida);Frutilla;0.1;
LENACIL;(Herbicida);Remolacha (hojas);0.1;
LENACIL;(Herbicida);Remolacha (raíz);0.1;
LIGNOSULFONATO DE CALCIO;(Coadyuvante);;Exento;
LINURON;(Herbicida);Ajo (consumo);0.1;
LINURON;(Herbicida);Apio;0.2;
LINURON;(Herbicida);Arveja (grano consumo);0.1;
LINURON;(Herbicida);Banana (con cáscara);0.2;
LINURON;(Herbicida);Batata;0.1;
LINURON;(Herbicida);Caña de azúcar (tallo fresco);0.3;
LINURON;(Herbicida);Cebolla (consumo);0.2;
LINURON;(Herbicida);Cereza;0.1;
LINURON;(Herbicida);Ciruela;0.1;
LINURON;(Herbicida);Damasco;0.1;
LINURON;(Herbicida);Durazno;0.1;
LINURON;(Herbicida);Espárrago (consumo);0.2;
LINURON;(Herbicida);Cítricos en general;0.1;
LINURON;(Herbicida);Girasol (Grano consumo);0.2;
LINURON;(Herbicida);Guinda;0.1;
LINURON;(Herbicida);Maíz (grano consumo);0.2;
LINURON;(Herbicida);Maíz dulce (grano consumo);0.2;
LINURON;(Herbicida);Maíz (forraje);1;
LINURON;(Herbicida);Manzana;0.1;
LINURON;(Herbicida);Membrillo;0.1;
LINURON;(Herbicida);Papa;0.2;
LINURON;(Herbicida);Pera;0.1;
LINURON;(Herbicida);Perejil;0.2;
LINURON;(Herbicida);Poroto (grano consumo);0.1;
LINURON;(Herbicida);Puerro;0.2;
LINURON;(Herbicida);Soja (forraje);1;
LINURON;(Herbicida);Soja (grano consumo);0.2;
LINURON;(Herbicida);Uva (de mesa y vinificación);0.2;
LINURON;(Herbicida);Zanahoria;0.1;
LINURON;(Herbicida);Gladiolo  ;Exento;
LUFENURON;(Insecticida);Algodón (aceite);0.01;
LUFENURON;(Insecticida);Algodón (semilla consumo);0.02;
LUFENURON;(Insecticida);Ajo (consumo);0.1;
LUFENURON;(Insecticida);Colza (grano consumo);0.02;
LUFENURON;(Insecticida);Girasol (Grano consumo);0.01;
LUFENURON;(Insecticida);Maíz (grano consumo);0.02;
LUFENURON;(Insecticida);Maíz Dulce;0.015;
LUFENURON;(Insecticida);Papa;0.02;
LUFENURON;(Insecticida);Radiccio;0.02;
LUFENURON;(Insecticida) ;Soja (grano consumo);0.05;
LUFENURON;(Insecticida);Tomate;0.02;
M.C.P.A.;(Herbicida);Alpiste (grano consumo);0.1;
M.C.P.A.;(Herbicida);Arroz (grano consumo);0.1;
M.C.P.A.;(Herbicida);Arveja (grano consumo);0.1;
M.C.P.A.;(Herbicida);Avena (grano consumo);0.1;
M.C.P.A.;(Herbicida);Praderas (naturales);0.1;
M.C.P.A.;(Herbicida);Cebada (grano consumo);0.1;
M.C.P.A.;(Herbicida);Centeno (grano consumo);0.1;
M.C.P.A.;(Herbicida);Lenteja (grano consumo);0.1;
M.C.P.A.;(Herbicida);Lino (forraje seco);2;
M.C.P.A.;(Herbicida);Maíz (grano consumo);0.1;
M.C.P.A.;(Herbicida);Maní (sin cáscara);0.1;
M.C.P.A.;(Herbicida);Mijo (grano consumo);0.1;
M.C.P.A.;(Herbicida);Papa;0.1;
M.C.P.A.;(Herbicida);Pasturas de gramíneas;0.1;
M.C.P.A.;(Herbicida);Sorgo (grano consumo);0.1;
M.C.P.A.;(Herbicida);Trigo (grano consumo);0.1;
M.S.M.A.;(Herbicida);Algodón (semilla consumo);0.7;
M.S.M.A.;(Herbicida);Caña de azúcar (tallo fresco);0.2;
M.S.M.A.;(Herbicida);Cereza;0.01;
M.S.M.A.;(Herbicida);Ciruela;0.01;
M.S.M.A.;(Herbicida);Damasco;0.01;
M.S.M.A.;(Herbicida);Durazno;0.01;
M.S.M.A.;(Herbicida);Guinda;0.01;
M.S.M.A.;(Herbicida);Manzana;0.01;
M.S.M.A.;(Herbicida);Membrillo;0.01;
M.S.M.A.;(Herbicida);Pera;0.01;
M.S.M.A.;(Herbicida);Soja (grano consumo);0.2;
M.S.M.A.;(Herbicida);Uva (de mesa);0.01;
MANCOZEB;(Fungicida);Acelga;3;
MANCOZEB;(Fungicida);Ajo (consumo);0.5;
MANCOZEB;(Fungicida);Apio;3;
MANCOZEB;(Fungicida);Arroz (grano consumo);0.1;
MANCOZEB;(Fungicida);Arveja (grano consumo);0.5;
MANCOZEB;(Fungicida);Avena (grano consumo);0.1;
MANCOZEB;(Fungicida);Cebada (grano consumo);0.1;
MANCOZEB;(Fungicida);Cebolla (consumo);0.5;
MANCOZEB;(Fungicida);Centeno (grano consumo);0.1;
MANCOZEB;(Fungicida);Cereza;1;
MANCOZEB;(Fungicida);Chaucha;0.5;
MANCOZEB;(Fungicida);Ciruela;1;
MANCOZEB;(Fungicida);Damasco;3;
MANCOZEB;(Fungicida);Durazno;3;
MANCOZEB;(Fungicida);Espinaca;3;
MANCOZEB;(Fungicida);Cítricos en general;2;
MANCOZEB;(Fungicida);Maní (sin cáscara);0.2;
MANCOZEB;(Fungicida);Manzana;2;
MANCOZEB;(Fungicida);Melón;1;
MANCOZEB;(Fungicida);Papa;0.1;
MANCOZEB;(Fungicida);Pepino;0.5;
MANCOZEB;(Fungicida);Pera;2;
MANCOZEB;(Fungicida);Pimiento;3;
MANCOZEB;(Fungicida);Poroto (grano consumo);0.5;
MANCOZEB;(Fungicida);Remolacha (raíz);0.2;
MANCOZEB;(Fungicida);Repollo;5;
MANCOZEB;(Fungicida);Soja;0.05;
MANCOZEB;(Fungicida);Tabaco;Exento;
MANCOZEB;(Fungicida);Tomate;3;
MANCOZEB;(Fungicida);Trigo (grano consumo);0.1;
MANCOZEB;(Fungicida);Uva (de mesa);5;
MANCOZEB;(Fungicida);Zapallo;1;
MANCOZEB;(Fungicida);Rosales   ;Exento;
MANCOZEB;(Fungicida);Gladiolo;Exento;
MANCOZEB;(Fungicida);Florales y ornamentales;Exento;
MANDIPROPAMID  ;(Fungicida)  ;Papa;0.04;
MEPIQUAT CLORURO;(Fitorregulador);Ajo (consumo);0.05;
MEPIQUAT CLORURO;(Fitorregulador);Algodón (semilla consumo);1;
MEPIQUAT CLORURO;(Fitorregulador);Cebolla (consumo);0.05;
MEPTYL DINOCAP;(Fungicida);Uva (de mesa);0.1;
MEPTYL DINOCAP;(Fungicida);Uva (vinificación);0.1;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Alfalfa (forraje);3;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Algodón (semilla consumo);0.5;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Arroz (grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Avena (grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Cebada (grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Cebolla (consumo);0.5;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Centeno (grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Durazno;0.5;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Cítricos en general;2;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Frutilla;1;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Girasol (Grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Harina de centeno;2;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Harina blanca de trigo;2;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Maíz (grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Manzana;0.5;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Pasturas consociadas (leguminosas y gramíneas);3;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Pera;0.5;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Poroto (grano consumo);0.5;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Repollo;3;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Salvado de centeno;20;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Salvado de trigo;20;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Sorgo (grano consumo);8;Po
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Tomate;3;
MERCAPTOTION / MALATION;(Acaricida - Insecticida);Trigo (grano consumo);8;Po
MESOTRIONE;(Herbicida);Maíz (grano consumo);0.01;
METABENZTIAZURON;(Herbicida);Ajo (consumo);0.1;
METABENZTIAZURON;(Herbicida);Cebolla (consumo);0.1;
METABENZTIAZURON;(Herbicida);Zanahoria;0.1;
METAFLUMIZONE;(Insecticida);Tomate;0.05;
METALAXIL   ;(Tratamiento de semillas);;Exento;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Alfalfa (grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Algodón (semilla consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Arveja (grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida)  ;Ajo (consumo);0.2;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Cebada (grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida)  ;Cebolla (consumo);0.2;
METALAXIL – M -ISOMERO;(Fungicida)  ;Cítricos en general;2;Po
METALAXIL – M -ISOMERO;(Fungicida)  ;Endivia;0.3;
METALAXIL – M -ISOMERO;(Fungicida)  ;Frutilla;0.2;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Garbanzo (Grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Girasol (Grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Lenteja (grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida)  ;Lechuga;2;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Maíz (grano consumo);Exento;
METALAXIL – M -ISOMERO;(Fungicida - Tratamiento de semillas)  ;Maní (sin cáscara);Exento;
METALAXIL – M -ISOMERO;(Fungicida)  ;Melón;0.2;
